task,commit,run,path
T2,2c8f7a4,3,src/ui/figures/rising.ts
T2,2c8f7a4,3,src/ui/figures/week.ts
T2,2c8f7a4,3,test/fake-mount-dom.ts
T2,2c8f7a4,3,test/figures-compare.test.ts
T2,2c8f7a4,3,test/figures-week.test.ts
T2,dd64f03,1,public/atlas.css
T2,dd64f03,1,public/bundle.js
T2,dd64f03,1,public/design-5.html
T2,dd64f03,1,src/ui/app.ts
T2,dd64f03,1,src/ui/docs-card.ts
T2,dd64f03,1,src/ui/figures/compare.ts
T2,dd64f03,1,src/ui/figures/week.ts
T2,dd64f03,1,test/fake-mount-dom.ts
T2,dd64f03,1,test/figures-compare.test.ts
T2,dd64f03,1,test/figures-week.test.ts
T2,dd64f03,2,public/atlas.css
T2,dd64f03,2,public/bundle.js
T2,dd64f03,2,public/design-5.html
T2,dd64f03,2,src/ui/app.ts
T2,dd64f03,2,src/ui/docs-card.ts
T2,dd64f03,2,src/ui/figures/atlas.ts
T2,dd64f03,2,src/ui/figures/compare.ts
T2,dd64f03,2,src/ui/figures/rising.ts
T2,dd64f03,2,src/ui/figures/week.ts
T2,dd64f03,2,test/app.test.ts
T2,dd64f03,2,test/atlas-modules-acceptance.test.ts
T2,dd64f03,2,test/bundle-freshness.test.ts
T2,dd64f03,2,test/db.test.ts
T2,dd64f03,2,test/docs-card.test.ts
T2,dd64f03,2,test/fake-mount-dom.ts
T2,dd64f03,2,test/figures-atlas.test.ts
T2,dd64f03,2,test/figures-compare.test.ts
T2,dd64f03,2,test/figures-testimony.test.ts
T2,dd64f03,2,test/figures-week.test.ts
T2,dd64f03,2,test/outlets.test.ts
T2,dd64f03,2,test/pet-acceptance.test.ts
T2,dd64f03,2,test/query.test.ts
T2,dd64f03,2,test/render.test.ts
T2,dd64f03,3,public/atlas.css
T2,dd64f03,3,public/bundle.js
T2,dd64f03,3,public/design-5.html
T2,dd64f03,3,src/ui/app.ts
T2,dd64f03,3,src/ui/docs-card.ts
T2,dd64f03,3,src/ui/figures/atlas.ts
T2,dd64f03,3,src/ui/figures/compare.ts
T2,dd64f03,3,src/ui/figures/rising.ts
T2,dd64f03,3,src/ui/figures/testimony.ts
T2,dd64f03,3,src/ui/figures/week.ts
T2,dd64f03,3,test/fake-mount-dom.ts
T2,dd64f03,3,test/figures-compare.test.ts
T2,dd64f03,3,test/figures-week.test.ts
T3,1e353ca,1,CLAUDE.md
T3,1e353ca,1,public/atlas.css
T3,1e353ca,1,public/bundle.js
T3,1e353ca,1,src/ui/app.ts
T3,1e353ca,1,src/ui/figures/atlas.ts
T3,1e353ca,1,src/ui/figures/compare.ts
T3,1e353ca,1,src/ui/figures/rising.ts
T3,1e353ca,1,src/ui/figures/testimony.ts
T3,1e353ca,1,src/ui/figures/week.ts
T3,1e353ca,1,src/ui/state.ts
T3,1e353ca,1,test/app.test.ts
T3,1e353ca,1,test/docs-card.test.ts
T3,1e353ca,1,test/fake-mount-dom.ts
T3,1e353ca,1,test/figures-atlas.test.ts
T3,1e353ca,1,test/figures-compare.test.ts
T3,1e353ca,1,test/figures-rising.test.ts
T3,1e353ca,1,test/figures-testimony.test.ts
T3,1e353ca,1,test/figures-week.test.ts
T3,1e353ca,1,test/invariants.test.ts
T3,1e353ca,1,test/pet-acceptance.test.ts
T3,1e353ca,1,test/state.test.ts
T3,1e353ca,2,package.json
T3,1e353ca,2,public/bundle.js
T3,1e353ca,2,public/design-5.html
T3,1e353ca,2,src/ui/app.ts
T3,1e353ca,2,src/ui/figures/atlas.ts
T3,1e353ca,2,src/ui/figures/week.ts
T3,1e353ca,2,src/ui/state.ts
T3,1e353ca,2,test/fake-mount-dom.ts
T3,1e353ca,2,test/figures-atlas.test.ts
T3,1e353ca,2,test/figures-week.test.ts
T3,1e353ca,2,test/fixture.ts
T3,1e353ca,2,test/invariants.test.ts
T3,1e353ca,2,test/state.test.ts
T3,1e353ca,3,CLAUDE.md
T3,1e353ca,3,public/bundle.js
T3,1e353ca,3,src/aggregate.ts
T3,1e353ca,3,src/store.ts
T3,1e353ca,3,src/ui/app.ts
T3,1e353ca,3,src/ui/figures/atlas.ts
T3,1e353ca,3,src/ui/figures/week.ts
T3,1e353ca,3,src/ui/state.ts
T3,1e353ca,3,test/figures-atlas.test.ts
T3,1e353ca,3,test/fixture.ts
T3,2c8f7a4,1,CLAUDE.md
T3,2c8f7a4,1,docs/operations.md
T3,2c8f7a4,1,public/bundle.js
T3,2c8f7a4,1,public/design-5.html
T3,2c8f7a4,1,seed.json
T3,2c8f7a4,1,src/ui/app.ts
T3,2c8f7a4,1,src/ui/figures/atlas.ts
T3,2c8f7a4,1,src/ui/figures/week.ts
T3,2c8f7a4,1,test/app.test.ts
T3,2c8f7a4,1,test/fake-mount-dom.ts
T3,2c8f7a4,1,test/figures-atlas.test.ts
T3,2c8f7a4,1,test/figures-week.test.ts
T3,2c8f7a4,2,CLAUDE.md
T3,2c8f7a4,2,DESIGN.md
T3,2c8f7a4,2,PRODUCT.md
T3,2c8f7a4,2,public/bundle.js
T3,2c8f7a4,2,public/design-5.html
T3,2c8f7a4,2,src/ui/app.ts
T3,2c8f7a4,2,src/ui/figures/atlas.ts
T3,2c8f7a4,2,src/ui/figures/week.ts
T3,2c8f7a4,2,src/ui/state.ts
T3,2c8f7a4,2,test/app.test.ts
T3,2c8f7a4,2,test/atlas-modules-acceptance.test.ts
T3,2c8f7a4,2,test/close.ts
T3,2c8f7a4,2,test/docs-card.test.ts
T3,2c8f7a4,2,test/fake-mount-dom.ts
T3,2c8f7a4,2,test/figures-atlas.test.ts
T3,2c8f7a4,2,test/figures-compare.test.ts
T3,2c8f7a4,2,test/figures-rising.test.ts
T3,2c8f7a4,2,test/figures-testimony.test.ts
T3,2c8f7a4,2,test/figures-week.test.ts
T3,2c8f7a4,2,test/pet-acceptance.test.ts
T3,2c8f7a4,2,test/state.test.ts
T3,2c8f7a4,3,CLAUDE.md
T3,2c8f7a4,3,docs/operations.md
T3,2c8f7a4,3,package.json
T3,2c8f7a4,3,public/bundle.js
T3,2c8f7a4,3,seed.json
T3,2c8f7a4,3,src/migrate.ts
T3,2c8f7a4,3,src/push.ts
T3,2c8f7a4,3,src/ui/app.ts
T3,2c8f7a4,3,src/ui/figures/atlas.ts
T3,2c8f7a4,3,src/ui/figures/week.ts
T3,2c8f7a4,3,src/ui/state.ts
T3,2c8f7a4,3,test/app.test.ts
T3,2c8f7a4,3,test/atlas-modules-acceptance.test.ts
T3,2c8f7a4,3,test/fake-mount-dom.ts
T3,2c8f7a4,3,test/figures-atlas.test.ts
T3,2c8f7a4,3,test/figures-compare.test.ts
T3,2c8f7a4,3,test/figures-rising.test.ts
T3,2c8f7a4,3,test/figures-testimony.test.ts
T3,2c8f7a4,3,test/figures-week.test.ts
T3,2c8f7a4,3,test/render.test.ts
T3,dd64f03,1,CLAUDE.md
T3,dd64f03,1,docs/operations.md
T3,dd64f03,1,public/bundle.js
T3,dd64f03,1,seed.json
T3,dd64f03,1,src/ui/app.ts
T3,dd64f03,1,src/ui/docs-card.ts
T3,dd64f03,1,src/ui/figures/atlas.ts
T3,dd64f03,1,src/ui/figures/week.ts
T3,dd64f03,1,src/ui/help.ts
T3,dd64f03,1,test/app.test.ts
T3,dd64f03,1,test/atlas-modules-acceptance.test.ts
T3,dd64f03,1,test/bundle-freshness.test.ts
